indicatorId,geoUnit,year,value,qualifier,magnitude
MATH.LOWERSEC,COL,2015,33.71326552928243,,
MATH.LOWERSEC,COL,2018,34.61320462796083,,
MATH.LOWERSEC,COL,2022,28.79,,
MATH.LOWERSEC,CRI,2009,43.3063781152956,,
MATH.LOWERSEC,CRI,2012,40.12679707547116,,
MATH.LOWERSEC,CRI,2015,37.50319721898281,,
MATH.LOWERSEC,CRI,2018,40.00191220784172,,
MATH.LOWERSEC,CRI,2022,28.16,,
MATH.LOWERSEC,CYP,2012,57.97040648782564,,
MATH.LOWERSEC,CYP,2015,57.40544516560408,,
MATH.LOWERSEC,CYP,2018,63.14464626066283,,
MATH.LOWERSEC,CYP,2022,46.9,,
MATH.LOWERSEC,CZE,2000,76.8763538786608,,
MATH.LOWERSEC,CZE,2003,83.43298529489999,,
MATH.LOWERSEC,CZE,2006,80.83899620337618,,
MATH.LOWERSEC,CZE,2009,77.66715575838101,,
MATH.LOWERSEC,CZE,2012,79.03689085105881,,
MATH.LOWERSEC,CZE,2015,78.3089685394768,,
MATH.LOWERSEC,CZE,2018,79.61491983313002,,
MATH.LOWERSEC,CZE,2022,74.48,,
MATH.LOWERSEC,DEU,2000,73.7459569547764,,
MATH.LOWERSEC,DEU,2003,78.3956715894,,
MATH.LOWERSEC,DEU,2006,80.13082601415802,,
MATH.LOWERSEC,DEU,2009,81.381904484715,,
MATH.LOWERSEC,DEU,2012,82.26132788735637,,
MATH.LOWERSEC,DEU,2015,82.80902804922111,,
MATH.LOWERSEC,DEU,2018,78.90338364219924,,
MATH.LOWERSEC,DEU,2022,70.5,,
MATH.LOWERSEC,DNK,2000,86.1676033871916,,
MATH.LOWERSEC,DNK,2003,84.59290179620001,,
MATH.LOWERSEC,DNK,2006,86.36602916973735,,
MATH.LOWERSEC,DNK,2009,82.94640599781299,,
MATH.LOWERSEC,DNK,2012,83.15936300771759,,
MATH.LOWERSEC,DNK,2015,86.42803692687929,,
MATH.LOWERSEC,DNK,2018,85.4288067190031,,
MATH.LOWERSEC,DNK,2022,79.55,,
MATH.LOWERSEC,DOM,2015,9.451825233506275,,
MATH.LOWERSEC,DOM,2018,9.442092747490056,,
